cid,countyName,predict,truePoverty,error
0500000US01015,Calhoun County Alabama,15.6523043,18.6,2.947695701
0500000US16079,Shoshone County Idaho,57.84962543,17.4,-40.44962543
0500000US26147,St. Clair County Michigan,18.19733028,13.3,-4.897330281
0500000US26069,Iosco County Michigan,53.4364813,16.9,-36.5364813
0500000US26007,Alpena County Michigan,-1.378545864,15,16.37854586
0500000US53011,Clark County Washington,14.79483871,10.3,-4.494838708
0500000US33011,Hillsborough County New Hampshire,14.11575803,8.6,-5.515758027
0500000US47143,Rhea County Tennessee,30.94990395,21.9,-9.049903947
0500000US41067,Washington County Oregon,-45.30992591,10.3,55.60992591
0500000US51037,Charlotte County Virginia,167.7411184,22.7,-145.0411184
0500000US39173,Wood County Ohio,-13.46463828,13.4,26.86463828
0500000US47061,Grundy County Tennessee,356.8015681,28.5,-328.3015681
0500000US20063,Gove County Kansas,31.6744313,9,-22.6744313
0500000US27131,Rice County Minnesota,12.73331613,11.5,-1.23331613
0500000US06003,Alpine County California,-17.80861343,19.8,37.60861343
0500000US37129,New Hanover County North Carolina,-15.64648906,18,33.64648906
0500000US19141,O'Brien County Iowa,-10.82151499,9.7,20.52151499
0500000US13123,Gilmer County Georgia,40.47715504,18.8,-21.67715504
0500000US05095,Monroe County Arkansas,131.6655023,28.6,-103.0655023
0500000US30083,Richland County Montana,0.55856823,5.9,5.34143177
0500000US13001,Appling County Georgia,-1017.34964,24.7,1042.04964
0500000US19011,Benton County Iowa,15.39613981,8.7,-6.696139814
0500000US42067,Juniata County Pennsylvania,-18.68596542,13.1,31.78596542
0500000US29229,Wright County Missouri,35.74404425,25,-10.74404425
0500000US48211,Hemphill County Texas,12.42274169,8.8,-3.62274169
0500000US02180,Nome Census Area Alaska,46.36724107,24.9,-21.46724107
0500000US17099,LaSalle County Illinois,15.15428998,13.6,-1.554289983
0500000US08069,Larimer County Colorado,66.54031373,12.4,-54.14031373
0500000US28069,Kemper County Mississippi,77.90566598,31.8,-46.10566598
0500000US22023,Cameron Parish Louisiana,10.83566834,8.7,-2.135668336
0500000US16003,Adams County Idaho,92.64380077,13.8,-78.84380077
0500000US48083,Coleman County Texas,-128.4151988,20.3,148.7151988
0500000US26097,Mackinac County Michigan,3.696884139,15.4,11.70311586
0500000US05053,Grant County Arkansas,82.49915859,14.4,-68.09915859
0500000US38003,Barnes County North Dakota,-2.13306273,10,12.13306273
0500000US27031,Cook County Minnesota,20.84810236,13,-7.848102362
0500000US29155,Pemiscot County Missouri,106.59321,28.5,-78.09321001
0500000US17173,Shelby County Illinois,-2.548520148,12.1,14.64852015
0500000US06035,Lassen County California,-30.47474388,14.6,45.07474388
0500000US37133,Onslow County North Carolina,24.2197559,14.1,-10.1197559
0500000US09003,Hartford County Connecticut,-445.3032464,11.2,456.5032464
0500000US29175,Randolph County Missouri,14.81337917,16.5,1.686620826
0500000US19157,Poweshiek County Iowa,7.747268589,10.7,2.952731411
0500000US29069,Dunklin County Missouri,47.74219194,26.6,-21.14219194
0500000US55133,Waukesha County Wisconsin,-15.4847332,5,20.4847332
0500000US46121,Todd County South Dakota,94.51242524,52,-42.51242524
0500000US18047,Franklin County Indiana,38.70306237,9.9,-28.80306237
0500000US39167,Washington County Ohio,10.01459344,15.5,5.485406561
0500000US13285,Troup County Georgia,83.61201392,21.3,-62.31201392
0500000US24047,Worcester County Maryland,-4.812111905,10.3,15.11211191
0500000US05131,Sebastian County Arkansas,47.26662513,22.5,-24.76662513
0500000US48269,King County Texas,-9.361563786,3.5,12.86156379
0500000US31021,Burt County Nebraska,-43.1909077,12.3,55.4909077
0500000US46031,Corson County South Dakota,-108.5528731,47.9,156.4528731
0500000US13135,Gwinnett County Georgia,8.579679858,12.1,3.520320142
0500000US19179,Wapello County Iowa,39.48166929,17,-22.48166929
0500000US31107,Knox County Nebraska,8.291622362,12.3,4.008377638
0500000US08053,Hinsdale County Colorado,19.86572986,12,-7.865729858
0500000US48485,Wichita County Texas,32.56995412,18.9,-13.66995412
0500000US42073,Lawrence County Pennsylvania,234.3472423,14,-220.3472423
0500000US13019,Berrien County Georgia,-426.102731,23.7,449.802731
0500000US22117,Washington Parish Louisiana,-874.7649676,26.3,901.0649676
0500000US18085,Kosciusko County Indiana,10.03929753,11.2,1.160702469
0500000US47093,Knox County Tennessee,52.00218993,15.8,-36.20218993
0500000US36095,Schoharie County New York,13.89726861,13.9,0.002731392
0500000US18161,Union County Indiana,11.88783848,8.2,-3.68783848
0500000US48471,Walker County Texas,24.41040526,24.3,-0.110405256
0500000US17187,Warren County Illinois,-13.35760312,13.8,27.15760312
0500000US48199,Hardin County Texas,15.84138821,12,-3.84138821
0500000US51083,Halifax County Virginia,-348.930691,18.7,367.630691
0500000US12023,Columbia County Florida,241.9882376,16.8,-225.1882376
0500000US29203,Shannon County Missouri,3.626988412,30.5,26.87301159
0500000US46085,Lyman County South Dakota,1.716789115,21.7,19.98321088
0500000US51029,Buckingham County Virginia,112.7412018,16.6,-96.14120181
0500000US10005,Sussex County Delaware,-0.611810083,12,12.61181008
0500000US21201,Robertson County Kentucky,-14.4231022,30.4,44.8231022
0500000US48399,Runnels County Texas,6.826421567,16.3,9.473578433
0500000US37169,Stokes County North Carolina,50.12562535,13.9,-36.22562535
0500000US05047,Franklin County Arkansas,27.01970431,21.9,-5.119704305
0500000US20155,Reno County Kansas,79.15612413,14,-65.15612413
0500000US27087,Mahnomen County Minnesota,-90.11520633,22.7,112.8152063
0500000US36011,Cayuga County New York,52.80525879,11.6,-41.20525879
0500000US21045,Casey County Kentucky,41.25780766,26.6,-14.65780766
0500000US47125,Montgomery County Tennessee,3.212527812,14.2,10.98747219
0500000US26133,Osceola County Michigan,-54.15606738,20.7,74.85606738
0500000US53039,Klickitat County Washington,29.34271658,14.9,-14.44271658
0500000US21163,Meade County Kentucky,-846.7044989,13.1,859.8044989
0500000US47003,Bedford County Tennessee,44.60909555,16.9,-27.70909555
0500000US51007,Amelia County Virginia,-110.1582323,13,123.1582323
0500000US20005,Atchison County Kansas,68.71658493,18.5,-50.21658493
0500000US48023,Baylor County Texas,22.14817088,13.1,-9.048170876
0500000US51169,Scott County Virginia,-23.41486979,17.7,41.11486979
0500000US51650,Hampton city Virginia,-2.027516568,14.9,16.92751657
0500000US37075,Graham County North Carolina,-13.70444739,19,32.70444739
0500000US27127,Redwood County Minnesota,-307.3831841,11.8,319.1831841
0500000US48105,Crockett County Texas,-121.3102461,20.9,142.2102461
0500000US51750,Radford city Virginia,-11.9767901,37.5,49.4767901
0500000US30107,Wheatland County Montana,25.50426636,19.8,-5.704266364
0500000US08029,Delta County Colorado,15.7935799,16.5,0.706420103
0500000US44001,Bristol County Rhode Island,36.09948656,7,-29.09948656
0500000US28029,Copiah County Mississippi,66.22622928,24.3,-41.92622928
0500000US13231,Pike County Georgia,8.169099468,12.3,4.130900532
0500000US21083,Graves County Kentucky,41.43286413,19.2,-22.23286413
0500000US41013,Crook County Oregon,-31.58116654,15.3,46.88116654
0500000US34033,Salem County New Jersey,21.17744659,14.2,-6.977446592
0500000US08107,Routt County Colorado,19.94412154,10.7,-9.244121535
0500000US12079,Madison County Florida,-117.6585969,31.9,149.5585969
0500000US54011,Cabell County West Virginia,13.12892968,23.2,10.07107032
0500000US37103,Jones County North Carolina,39.42024536,26.4,-13.02024536
0500000US38091,Steele County North Dakota,-17.89793697,3.8,21.69793697
0500000US01005,Barbour County Alabama,-424.3607879,27.2,451.5607879
0500000US26071,Iron County Michigan,-30.80853772,14.2,45.00853772
0500000US16061,Lewis County Idaho,1.715730417,15.3,13.58426958
0500000US56035,Sublette County Wyoming,12.41968641,7.4,-5.019686415
0500000US38067,Pembina County North Dakota,20.76563955,5.6,-15.16563955
0500000US27099,Mower County Minnesota,7.534995055,13,5.465004945
0500000US54109,Wyoming County West Virginia,22.13039918,22.2,0.069600821
0500000US45027,Clarendon County South Carolina,95.24967664,23.3,-71.94967664
0500000US19063,Emmet County Iowa,7.015223502,13.8,6.784776498
0500000US05109,Pike County Arkansas,46.57641876,17.3,-29.27641876
0500000US40151,Woods County Oklahoma,27.2663719,12.9,-14.3663719
0500000US37093,Hoke County North Carolina,-359.027781,21.9,380.927781
0500000US26091,Lenawee County Michigan,5.083934641,13.7,8.616065359
0500000US48015,Austin County Texas,-14.47572235,13.4,27.87572235
0500000US51173,Smyth County Virginia,0.114477721,17.4,17.28552228
0500000US29041,Chariton County Missouri,9.602889107,14.2,4.597110893
0500000US20145,Pawnee County Kansas,16.64485789,7.8,-8.844857892
0500000US05127,Scott County Arkansas,76.02056545,20.5,-55.52056545
0500000US12043,Glades County Florida,16.95899802,18,1.041001976
0500000US54009,Brooke County West Virginia,192.2602429,13,-179.2602429
0500000US20209,Wyandotte County Kansas,39.04314443,21.4,-17.64314443
0500000US21099,Hart County Kentucky,55.2634794,23.1,-32.1634794
0500000US48495,Winkler County Texas,22.68513509,17.9,-4.785135095
0500000US40085,Love County Oklahoma,7.477014435,12.2,4.722985565
0500000US17167,Sangamon County Illinois,24.12457991,15.6,-8.524579907
0500000US31083,Harlan County Nebraska,-1.562643664,12.9,14.46264366
0500000US12121,Suwannee County Florida,-37.74677117,20.4,58.14677117
0500000US13227,Pickens County Georgia,100.3836188,9.8,-90.58361877
0500000US37045,Cleveland County North Carolina,14.38116061,19.9,5.518839391
0500000US08031,Denver County Colorado,3.827551768,15.1,11.27244823
0500000US54075,Pocahontas County West Virginia,-144.3645577,17.6,161.9645577
0500000US28031,Covington County Mississippi,74.09262805,23.1,-50.99262805
0500000US26117,Montcalm County Michigan,1.796622776,17.5,15.70337722
0500000US01013,Butler County Alabama,-10.1417312,24.4,34.5417312
0500000US50003,Bennington County Vermont,-6.679613577,12.8,19.47961358
0500000US49041,Sevier County Utah,12.90470447,13.3,0.395295534
0500000US26005,Allegan County Michigan,22.72717185,10.8,-11.92717185
0500000US53013,Columbia County Washington,-118.3372952,14.5,132.8372952
0500000US55105,Rock County Wisconsin,30.10231077,14.3,-15.80231077
0500000US47141,Putnam County Tennessee,-122.1002784,23.3,145.4002784
0500000US41065,Wasco County Oregon,136.0658489,13.7,-122.3658489
0500000US39171,Williams County Ohio,83.24899892,13.5,-69.74899892
0500000US47063,Hamblen County Tennessee,-41.25797464,19.8,61.05797464
0500000US25011,Franklin County Massachusetts,-204.9832756,10.9,215.8832756
0500000US24027,Howard County Maryland,8.359494263,5.2,-3.159494263
0500000US20061,Geary County Kansas,15.73373856,14.9,-0.833738557
0500000US27133,Rock County Minnesota,45.83388729,11,-34.83388729
0500000US06005,Amador County California,-74.34836761,10.6,84.94836761
0500000US33017,Strafford County New Hampshire,3.725958449,9.5,5.774041551
0500000US51031,Campbell County Virginia,6.552214066,11.7,5.147785934
0500000US46027,Clay County South Dakota,14.66666836,24.7,10.03333164
0500000US19143,Osceola County Iowa,-20.86015255,11.4,32.26015255
0500000US53023,Garfield County Washington,70.73895199,11.7,-59.03895199
0500000US21155,Marion County Kentucky,67.44363665,18.4,-49.04363665
0500000US39033,Crawford County Ohio,-2.58313969,16.2,18.78313969
0500000US13321,Worth County Georgia,4.21999464,21.5,17.28000536
0500000US48217,Hill County Texas,4.199003021,17.5,13.30099698
0500000US47187,Williamson County Tennessee,-10.86624045,4.6,15.46624045
0500000US13125,Glascock County Georgia,-31.75187752,11.5,43.25187752
0500000US06057,Nevada County California,77.14221766,12.1,-65.04221766
0500000US48081,Coke County Texas,-17.33258485,16.6,33.93258485
0500000US42065,Jefferson County Pennsylvania,46.86279828,14.2,-32.66279828
0500000US26145,Saginaw County Michigan,7.615278311,17.7,10.08472169
0500000US37017,Bladen County North Carolina,61.37248265,24.5,-36.87248265
0500000US17109,McDonough County Illinois,28.64943804,22.3,-6.349438039
0500000US12039,Gadsden County Florida,-5.766048634,24.4,30.16604863
0500000US05051,Garland County Arkansas,49.29114433,19.1,-30.19114433
0500000US48381,Randall County Texas,29.97055657,9.6,-20.37055657
0500000US27033,Cottonwood County Minnesota,14.97454748,15.6,0.625452518
0500000US29157,Perry County Missouri,24.35205587,8.2,-16.15205587
0500000US48409,San Patricio County Texas,32.92000728,15.2,-17.72000728
0500000US50019,Orleans County Vermont,-49.79357601,14.2,63.99357601
0500000US20097,Kiowa County Kansas,-0.366637552,8.7,9.066637552
0500000US27125,Red Lake County Minnesota,-0.542177296,9.4,9.942177296
0500000US06037,Los Angeles County California,11.79097345,17,5.209026545
0500000US37135,Orange County North Carolina,51.73665396,14,-37.73665396
0500000US09005,Litchfield County Connecticut,5.024018431,6.8,1.775981569
0500000US28141,Tishomingo County Mississippi,-72.35888328,18.6,90.95888328
0500000US19155,Pottawattamie County Iowa,13.05180214,11.2,-1.851802138
